state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
RI,Aricept,0,0,N/A,Donepezil Hcl,1064076.0,383041.08,0.36
RI,Enbrel,30920.0,6220856.6,201.19,Etanercept,0,0,N/A
RI,Zoloft,330.0,8158.59,24.72,Sertraline Hcl,3618558.0,888931.28,0.25
RI,Trintellix,44768.0,648492.33,14.49,Vortioxetine Hydrobromide,0,0,N/A
RI,Ambien,2430.0,41081.28,16.91,Zolpidem Tartrate,962908.0,220156.92,0.23
SC,Humira,305756.0,73968490.02,241.92,Adalimumab,0,0,N/A
SC,Lipitor,144710.0,2162194.84,14.94,Atorvastatin Calcium,61295802.0,13854260.32,0.23
SC,Adderall,5271.0,75689.69,14.36,Dextroamphetamine/Amphetamine,0,0,N/A
SC,Aricept,3450.0,59343.42,17.2,Donepezil Hcl,5650812.0,2061728.78,0.36
SC,Enbrel,120780.0,25021513.89,207.17,Etanercept,0,0,N/A
SC,Zoloft,14467.0,206424.42,14.27,Sertraline Hcl,11118526.0,2397546.35,0.22
SC,Trintellix,312678.0,4361730.61,13.95,Vortioxetine Hydrobromide,0,0,N/A
SC,Ambien,12028.0,245217.81,20.39,Zolpidem Tartrate,6483255.0,1535434.98,0.24
SD,Humira,29509.0,6803793.53,230.57,Adalimumab,0,0,N/A
SD,Lipitor,0,0,N/A,Atorvastatin Calcium,8506566.0,1676935.53,0.2
SD,Adderall,1144.0,18460.93,16.14,Dextroamphetamine/Amphetamine,0,0,N/A
SD,Aricept,0,0,N/A,Donepezil Hcl,801060.0,287486.08,0.36
SD,Enbrel,12026.0,2407548.85,200.2,Etanercept,0,0,N/A
SD,Zoloft,0,0,N/A,Sertraline Hcl,2102545.0,381898.73,0.18
SD,Trintellix,32827.0,472393.89,14.39,Vortioxetine Hydrobromide,0,0,N/A
SD,Ambien,210.0,4027.8,19.18,Zolpidem Tartrate,657063.0,152785.01,0.23
TN,Humira,385588.0,90681483.77,235.18,Adalimumab,0,0,N/A
TN,Lipitor,6120.0,87132.99,14.24,Atorvastatin Calcium,82520886.0,17590074.2,0.21
TN,Adderall,3292.0,28415.08,8.63,Dextroamphetamine/Amphetamine,0,0,N/A
TN,Aricept,0,0,N/A,Donepezil Hcl,8715287.0,2967454.39,0.34
TN,Enbrel,243544.0,49242074.97,202.19,Etanercept,0,0,N/A
TN,Zoloft,2444.0,36267.63,14.84,Sertraline Hcl,18553898.0,4257990.34,0.23
TN,Trintellix,537069.0,7456509.27,13.88,Vortioxetine Hydrobromide,0,0,N/A
TN,Ambien,4320.0,80965.6,18.74,Zolpidem Tartrate,7051688.0,1522895.53,0.22
TX,Humira,1012095.0,233039287.42,230.25,Adalimumab,0,0,N/A
TX,Lipitor,9169.0,127467.74,13.9,Atorvastatin Calcium,259297080.0,47132579.22,0.18
TX,Adderall,27805.0,360977.62,12.98,Dextroamphetamine/Amphetamine,0,0,N/A
TX,Aricept,1620.0,34025.39,21.0,Donepezil Hcl,25278380.0,8497269.62,0.34
TX,Enbrel,756181.0,152888546.97,202.19,Etanercept,0,0,N/A
TX,Zoloft,10354.0,178948.94,17.28,Sertraline Hcl,42916718.0,8829233.16,0.21
TX,Trintellix,999891.0,14040483.82,14.04,Vortioxetine Hydrobromide,0,0,N/A
TX,Ambien,17455.0,380344.37,21.79,Zolpidem Tartrate,17490347.0,3928313.1,0.22
UT,Humira,59182.0,13096491.48,221.29,Adalimumab,0,0,N/A
UT,Lipitor,0,0,N/A,Atorvastatin Calcium,23098339.0,4172578.71,0.18
UT,Adderall,3527.0,37244.94,10.56,Dextroamphetamine/Amphetamine,0,0,N/A
UT,Aricept,0,0,N/A,Donepezil Hcl,1455917.0,416345.92,0.29
UT,Enbrel,47934.0,9714486.76,202.66,Etanercept,0,0,N/A
UT,Zoloft,0,0,N/A,Sertraline Hcl,4292239.0,1031841.15,0.24
UT,Trintellix,74523.0,1041983.0,13.98,Vortioxetine Hydrobromide,0,0,N/A
UT,Ambien,2280.0,51237.95,22.47,Zolpidem Tartrate,2968355.0,715756.02,0.24
VT,Humira,38759.0,8762208.3,226.07,Adalimumab,0,0,N/A
VT,Lipitor,2262.0,30850.54,13.64,Atorvastatin Calcium,7270872.0,1479892.22,0.2
VT,Adderall,3627.0,62494.35,17.23,Dextroamphetamine/Amphetamine,0,0,N/A
VT,Aricept,330.0,1207.63,3.66,Donepezil Hcl,479815.0,157231.9,0.33
VT,Enbrel,22112.0,4267603.89,193.0,Etanercept,0,0,N/A
VT,Zoloft,1610.0,26244.06,16.3,Sertraline Hcl,1858853.0,376141.7,0.2
VT,Trintellix,16446.0,235775.39,14.34,Vortioxetine Hydrobromide,0,0,N/A
VT,Ambien,1440.0,27704.36,19.24,Zolpidem Tartrate,487304.0,110666.05,0.23
VA,Humira,236935.0,57924418.23,244.47,Adalimumab,0,0,N/A
VA,Lipitor,16279.0,209251.72,12.85,Atorvastatin Calcium,84488758.0,18271078.31,0.22
VA,Adderall,17912.0,133127.82,7.43,Dextroamphetamine/Amphetamine,0,0,N/A
VA,Aricept,360.0,5837.43,16.22,Donepezil Hcl,6399269.0,2440775.88,0.38
VA,Enbrel,154599.0,30898412.06,199.86,Etanercept,0,0,N/A
VA,Zoloft,2490.0,49486.02,19.87,Sertraline Hcl,15455525.0,3341428.63,0.22
VA,Trintellix,258461.0,3658899.72,14.16,Vortioxetine Hydrobromide,0,0,N/A
VA,Ambien,7348.0,143335.62,19.51,Zolpidem Tartrate,5045981.0,1120716.33,0.22
WA,Humira,252234.0,56171464.5,222.7,Adalimumab,0,0,N/A
WA,Lipitor,1012.0,16824.93,16.63,Atorvastatin Calcium,78239071.0,16255205.31,0.21
WA,Adderall,32570.0,158495.58,4.87,Dextroamphetamine/Amphetamine,0,0,N/A
WA,Aricept,750.0,10439.48,13.92,Donepezil Hcl,4146561.0,1452869.61,0.35
WA,Enbrel,175238.0,34367484.07,196.12,Etanercept,0,0,N/A
WA,Zoloft,1444.0,28897.55,20.01,Sertraline Hcl,13428546.0,3230291.26,0.24
WA,Trintellix,89035.0,1264724.26,14.2,Vortioxetine Hydrobromide,0,0,N/A
WA,Ambien,3567.0,66494.07,18.64,Zolpidem Tartrate,3832892.0,857642.04,0.22
WV,Humira,120348.0,27817072.42,231.14,Adalimumab,0,0,N/A
WV,Lipitor,0,0,N/A,Atorvastatin Calcium,22345819.0,4402011.55,0.2
WV,Adderall,2550.0,19105.92,7.49,Dextroamphetamine/Amphetamine,0,0,N/A
WV,Aricept,0,0,N/A,Donepezil Hcl,2098765.0,667844.46,0.32
WV,Enbrel,65818.0,13126959.66,199.44,Etanercept,0,0,N/A
WV,Zoloft,360.0,6638.76,18.44,Sertraline Hcl,5851895.0,1098699.38,0.19
WV,Trintellix,114541.0,1589640.03,13.88,Vortioxetine Hydrobromide,0,0,N/A
WV,Ambien,1414.0,26926.14,19.04,Zolpidem Tartrate,1700025.0,354923.12,0.21
WI,Humira,319720.0,74979947.79,234.52,Adalimumab,0,0,N/A
WI,Lipitor,1140.0,17979.46,15.77,Atorvastatin Calcium,81903994.0,17192636.71,0.21
WI,Adderall,18718.0,237108.46,12.67,Dextroamphetamine/Amphetamine,0,0,N/A
WI,Aricept,0,0,N/A,Donepezil Hcl,5270160.0,1884025.54,0.36
WI,Enbrel,154776.0,30938790.08,199.89,Etanercept,0,0,N/A
WI,Zoloft,2886.0,42867.6,14.85,Sertraline Hcl,16647104.0,3998658.98,0.24
WI,Trintellix,203514.0,2906851.29,14.28,Vortioxetine Hydrobromide,0,0,N/A
WI,Ambien,9154.0,181043.69,19.78,Zolpidem Tartrate,4182842.0,1004769.7,0.24
WY,Humira,18122.0,4635087.73,255.77,Adalimumab,0,0,N/A
WY,Lipitor,360.0,4042.8,11.23,Atorvastatin Calcium,4356464.0,940227.08,0.22
WY,Adderall,0,0,N/A,Dextroamphetamine/Amphetamine,0,0,N/A
WY,Aricept,0,0,N/A,Donepezil Hcl,286857.0,114596.2,0.4
WY,Enbrel,9398.0,1900651.8,202.24,Etanercept,0,0,N/A
WY,Zoloft,390.0,4944.69,12.68,Sertraline Hcl,1002437.0,205709.08,0.21
WY,Trintellix,12939.0,184224.84,14.24,Vortioxetine Hydrobromide,0,0,N/A
WY,Ambien,0,0,N/A,Zolpidem Tartrate,416342.0,106352.7,0.26
